date,dur
2012-01-01,40571.30	
2012-01-02,58291.21	
2012-01-03,78378.77	
2012-01-04,86874.40	
2012-01-05,92842.66	
2012-01-06,97780.20	
2012-01-07,96577.75	
2012-01-08,81906.65	
2012-01-09,80195.44	
2012-01-10,88152.78	
2012-01-11,93395.07	
2012-01-12,102626.88	
2012-01-13,108920.50	
2012-01-14,98688.22	
2012-01-15,90380.18	
2012-01-16,72353.27	
2012-01-17,95294.30	
2012-01-18,101471.87	
2012-01-19,104500.96	
2012-01-20,111810.36	
2012-01-21,97543.78	
2012-01-22,83176.97	
2012-01-23,84629.60	
2012-01-24,89977.27	
2012-01-25,96816.90	
2012-01-26,108614.23	
2012-01-27,111198.06	
2012-01-28,107348.85	
2012-01-29,88020.14	
2012-01-30,83527.48	
2012-01-31,92021.97	
2012-02-01,96678.95	
2012-02-02,105664.74	
2012-02-03,109420.54	
2012-02-04,101074.30	
2012-02-05,83662.11	
2012-02-06,85377.53	
2012-02-07,91659.64	
2012-02-08,102650.30	
2012-02-09,108486.63	
2012-02-10,117895.85	
2012-02-11,109757.75	
2012-02-12,93573.00	
2012-02-13,92407.56	
2012-02-14,106479.24	
2012-02-15,110444.90	
2012-02-16,114323.19	
2012-02-17,112332.68	
2012-02-18,103959.06	
2012-02-19,88024.92	
2012-02-20,73077.76	
2012-02-21,90418.54	
2012-02-22,96374.09	
2012-02-23,105063.94	
2012-02-24,113817.04	
2012-02-25,108288.98	
2012-02-26,86727.69	
2012-02-27,83612.61	
2012-02-28,97193.75	
2012-02-29,109538.69	
2012-03-01,110531.96	
2012-03-02,117068.15	
2012-03-03,108109.84	
2012-03-04,92624.56	
2012-03-05,90980.42	
2012-03-06,100958.95	
2012-03-07,106502.97	
2012-03-08,113215.34	
2012-03-09,120555.84	
2012-03-10,113260.83	
2012-03-11,89772.07	
2012-03-12,87131.12	
2012-03-13,98258.44	
2012-03-14,108443.64	
2012-03-15,114447.04	
2012-03-16,117542.33	
2012-03-17,109197.20	
2012-03-18,88174.44	
2012-03-19,83932.97	
2012-03-20,92688.95	
2012-03-21,101756.00	
2012-03-22,109667.34	
2012-03-23,115989.57	
2012-03-24,107700.93	
2012-03-25,89476.06	
2012-03-26,88899.36	
2012-03-27,97210.68	
2012-03-28,104076.63	
2012-03-29,110586.25	
2012-03-30,117045.96	
2012-03-31,110992.11	
2012-04-01,95551.67	
2012-04-02,93106.48	
2012-04-03,105345.40	
2012-04-04,111644.57	
2012-04-05,121388.40	
2012-04-06,106660.62	
2012-04-07,92420.22	
2012-04-08,76517.02	
2012-04-09,86732.61	
2012-04-10,99443.32	
2012-04-11,106130.62	
2012-04-12,110504.46	
2012-04-13,114277.54	
2012-04-14,113797.24	
2012-04-15,92996.29	
2012-04-16,91487.53	
2012-04-17,105524.30	
2012-04-18,112108.00	
2012-04-19,116912.56	
2012-04-20,121075.47	
2012-04-21,112822.61	
