,cluster
0,31
1,30
2,95
3,143
4,54
5,24
6,61
7,69
8,3811
9,25
10,98
11,78
12,77
13,19
14,64
15,142
16,35
17,17
18,80
19,49
20,47
21,63
22,105
23,30
24,77
25,42
26,52
27,30
28,106
29,125
30,538
31,69
32,87
33,30
34,52
35,31
36,101
37,83
38,68
39,77
40,89
41,30
42,70
43,89
44,71
45,18
46,52
47,18
48,84
49,115
50,59
51,80
52,90
53,61
54,99
55,81
56,76
57,19
58,52
59,68
60,110
61,30
62,161
63,78
64,125
65,40
66,47
67,65
68,123
69,74
70,41
71,24
72,133
73,24
74,29
75,115
76,118
77,42
78,77
79,40
80,71
81,89
82,53
83,62
84,88
85,47
86,61
87,23
88,104
89,124
90,76
91,392
92,106
93,135
94,120
95,57
96,137
97,64
98,35
99,42
100,47
101,53
102,63
103,115
104,47
105,22
106,109
107,30
108,85
109,87
110,79
111,54
112,129
113,59
114,55
115,111
116,66
117,73
118,143
119,50
120,89
121,69
122,94
123,75
124,48
125,57
126,54
127,41
128,91
129,76
130,78
131,107
132,18
133,89
134,49
135,48
136,63
137,52
138,31
139,61
140,55
141,258
142,52
143,177
144,212
145,36
146,54
147,81
148,82
149,46
150,96
151,32
152,42
153,96
154,54
155,102
156,49
157,13
158,35
159,41
160,29
161,48
162,43
163,126
164,136
165,36
166,47
167,58
168,60
169,39
170,70
171,119
172,45
173,136
174,59
175,42
176,37
177,99
178,152
179,40
180,46
181,83
182,63
183,65
184,41
185,50
186,141
187,12
188,42
189,31
190,57
191,40
192,129
193,145
194,7
195,99
196,25
197,7
198,23
199,47
200,74
201,70
202,183
203,30
204,96
205,42
206,73
207,141
208,48
209,81
210,81
211,59
212,87
213,39
214,34
215,151
216,61
217,33
218,69
219,99
220,71
221,65
222,61
223,59
224,61
225,101
226,7
227,53
228,71
229,12
230,36
231,7
232,69
233,68
234,47
235,57
236,120
237,105
238,71
239,117
240,25
241,41
242,58
243,88
244,42
245,75
246,40
247,94
248,34
249,68
250,82
251,115
252,53
253,50
254,110
255,81
256,81
257,95
258,58
259,98
260,46
261,79
262,78
263,19
264,65
265,54
266,64
267,119
268,107
269,31
270,77
271,60
272,51
273,42
274,105
275,47
276,53
277,34
278,121
279,118
280,36
281,54
282,42
283,61
284,142
285,22
286,55
287,53
288,7
289,52
290,25
291,106
292,77
293,55
294,79
295,46
296,51
297,79
298,80
299,57
300,58
301,78
302,100
303,23
304,111
305,88
306,41
307,117
308,82
309,89
310,102
311,47
312,65
313,71
314,55
315,76
316,101
317,94
318,76
319,65
320,98
321,64
322,40
323,84
324,85
325,84
326,132
327,76
328,87
329,70
330,60
331,54
332,54
333,51
334,53
335,65
336,39
337,107
338,103
339,165
340,118
341,81
342,13
343,89
344,18
345,97
346,48
347,94
348,54
349,59
350,134
351,67
352,19
353,65
354,109
355,17
356,110
357,13
358,71
359,76
360,12
361,101
362,84
363,67
364,95
365,25
366,77
367,88
368,77
369,7
370,76
371,58
372,67
373,38
374,18
375,44
376,65
377,65
378,54
379,62
380,137
381,99
382,82
383,89
384,59
385,64
386,61
387,63
388,41
389,86
390,49
391,65
392,58
393,68
394,154
395,76
396,83
397,42
398,42
399,54
400,106
401,78
402,80
403,72
404,93
405,53
406,53
407,79
408,62
409,61
410,98
411,70
412,111
413,17
414,53
415,58
416,36
417,73
418,62
419,114
420,112
421,34
422,31
423,12
424,25
425,68
426,46
427,64
428,87
429,51
430,136
431,83
432,58
433,60
434,69
435,63
436,88
437,91
438,76
439,174
440,59
441,11
442,87
443,108
444,71
445,137
446,92
447,106
448,54
449,78
450,41
451,41
452,84
453,50
454,72
455,92
456,72
457,64
458,53
459,77
460,121
461,84
462,58
463,83
464,47
465,57
466,105
467,71
468,45
