tract,count
000100,246525
000200,7309
000201,33344
000202,75687
000300,539
000301,66694
000400,3209
000500,167
000501,70928
000502,67264
000600,97280
000700,974371
000800,107046
000900,905435
001000,1096
001001,57898
001002,51843
001100,96124
001200,63579
001300,865838
001400,2789
001401,74414
001402,125924
001500,158648
001501,432280
001502,573368
001600,286593
001700,151
001800,698696
001900,172489
002000,60986
002001,796
002002,1161
002100,995928
002200,7139
002201,139318
002202,117378
002300,22412
002400,38435
002500,60845
002600,1164
002601,175543
002602,201604
002700,45834
002701,2079
002702,4070
002800,257336
002900,288474
002901,6935
003000,5218
003001,740157
003002,273774
003100,483877
003200,785029
003300,1229678
003400,647811
003500,39937
003600,8526
003601,361930
003602,393392
003700,1104897
003800,1010301
003900,938912
004000,1020923
004001,2215
004002,1072
004100,659397
004200,552812
004300,951632
004400,540477
004401,1672
004500,594957
004600,3097
004700,753043
004800,675105
004900,1178680
005000,1055260
005001,1022
005002,2717
005100,75405
005200,1278108
005201,2479
005202,4157
005300,105170
005400,1017039
005500,17398
005501,399780
005502,788968
005600,1402031
005601,4709
005602,4007
005700,577838
005800,1352459
005900,515334
005902,7863
006000,240827
006100,953080
006200,569894
006201,2925
006202,2791
006300,935899
006400,875746
006500,1160202
006501,32336
006502,39647
006600,687121
006700,861308
006800,1266063
006900,462470
007000,951514
007100,838093
007200,1440046
007300,1017959
007400,1324003
007500,551402
007600,1503071
007700,899284
007800,849520
007900,1444042
008000,1665518
008100,870002
008200,1688740
008300,1463331
008400,1110606
008500,30830
008600,3981
008601,245637
008602,76524
008603,333311
008700,803493
008800,1116769
008900,483631
009000,984784
009100,1028915
009200,2901474
009300,662798
009400,1789084
009500,974196
009600,1346221
009601,443
009602,370
009700,308597
009800,1141134
009900,2433082
010000,1802519
010100,3621804
010200,1940655
010300,616413
010400,1562285
010500,12487
010600,2416
010601,403678
010602,404014
010701,2367
010800,988405
010900,1408006
011000,780260
011100,784694
011200,3433
011201,937294
011202,1065452
011203,886706
011300,1525047
011400,5024
011401,897940
011402,765537
011500,1183295
011502,1922
011600,709254
011700,739395
011800,940022
011900,1870409
012000,931965
012100,1133022
012101,1231
012102,373
012200,828375
012300,1937
012301,18128
012400,969884
012500,2031429
012600,1012278
012601,835
012602,843
012700,791136
012701,854
012800,1080544
012801,1307
012804,175
012805,103
012806,177
012900,1106614
012901,72000
012902,39586
013000,1064678
013100,1885713
013200,648060
013201,188
013203,295
013204,188
013300,772237
013301,15
013302,138
013400,1061481
013500,865797
013600,903239
013700,2191653
013800,1013410
013900,950934
014000,1091920
014100,55534
014200,1041232
014201,1178
014202,4293
014300,2207942
014400,2453
014401,275687
014402,390536
014500,1295112
014601,451660
014602,524927
014604,239
014605,118
014606,228
014607,110
014608,55
014700,208561
014701,1361
014702,1171
014800,1590
014801,438981
014802,821461
014900,1183328
015000,1719
015001,284657
015002,769393
015100,591131
015200,368377
015300,1097934
015400,703540
015500,597795
015600,1338
015601,214209
015602,107074
015603,194
015700,906406
015800,495
015801,545931
015802,162008
015900,730127
016000,8694
016001,574466
016002,272448
016100,556186
016200,105215
016300,739545
016400,128260
016500,759629
016600,150489
016700,624979
016800,341265
016900,654313
016901,471
017000,117315
017005,243
017007,164
017008,155
017009,218
017010,474
017011,125
017012,215
017100,678334
017200,116155
017300,575178
017400,2241
017401,77716
017402,33233
017500,645290
017600,2031
017700,431713
017701,1285
017702,1685
017800,121582
017900,565833
017901,2451
017902,2103
018000,115753
018100,426699
018101,43573
018102,43863
018200,99456
018300,608075
018301,8193
018302,2890
018400,86536
018401,626
018402,483
018500,242023
018501,32967
018502,21114
018600,41695
018700,412000
018701,157
018702,557
018800,99722
018900,276902
018901,579
018902,532
019000,64782
019100,385887
019200,22685
019300,260269
019400,65110
019500,369252
019600,215921
019700,54302
019701,145818
019702,44481
019800,173491
019900,426958
020000,95335
020100,46173
020101,97419
020102,78836
020200,3740
020300,250113
020400,3655
020500,180783
020501,3162
020502,1091
020600,44298
020601,3108
020700,40243
020701,59711
020800,72027
020801,356
020803,166
020804,163
020900,2706
020901,43497
021000,39692
021001,3709
021002,3754
021100,187150
021200,73664
021300,16998
021301,838
021302,1950
021303,54936
021400,34474
021500,60525
021501,1265
021502,2956
021600,142510
021601,1836
021602,5009
021700,26017
021703,33921
021800,129555
021900,91619
022000,83864
022001,9892
022002,6456
022100,33239
022101,1896
022102,30520
022200,103817
022300,2384
022301,76360
022302,18221
022400,39334
022401,1806
022403,2030
022404,2054
022500,71540
022600,47390
022700,88422
022701,2624
022702,1666
022703,2352
022800,63017
022900,105837
022901,2777
022902,1317
023000,49101
023100,81674
023200,35017
023300,92067
023301,2584
023302,1099
023400,23779
023500,59479
023501,36617
023502,10406
023600,23057
023700,45319
023702,1003
023703,2262
023704,1152
023800,5135
023801,55576
023802,39553
023900,23014
024000,39387
024100,94269
024200,41961
024300,48486
024301,13765
024302,9456
024400,4203
024401,180
024402,86
024500,103924
024501,1355
024502,1484
024600,2187
024700,79970
024800,2781
024900,47289
025000,1887
025100,135236
025200,2986
025300,61587
025301,37335
025302,20968
025400,3706
025500,102167
025600,1684
025700,114710
025800,1819
025900,51824
025901,9760
025902,2333
026000,1703
026100,73788
026200,1077
026300,71012
026400,4889
026500,123700
026600,1772
026601,1168
026602,3371
026700,49568
026701,1419
026702,2522
026800,1515
026900,36197
026901,10983
026902,5067
027000,1426
027100,51976
027200,1326
027300,100069
027301,475
027302,197
027400,1191
027401,2022
027402,1212
027500,37317
027600,2878
027700,41566
027702,1379
027704,200
027705,169
027706,243
027800,1955
027900,52653
028000,1202
028100,47812
028200,1649
028300,57537
028400,4085
028500,38804
028501,8722
028502,4730
028600,2477
028700,92242
028800,3726
028900,40697
029000,1422
029100,55082
029102,651
029103,437
029104,563
029200,1011
029300,30601
029301,4763
029302,15852
029400,11273
029500,68582
029600,8839
029700,47323
029800,1508
029900,26376
030000,3627
030100,3363
030200,3641
030300,22717
030301,313
030302,257
030400,1282
030500,52440
030600,21687
030700,18973
030701,10453
030800,586
030900,14879
030902,13744
030903,9557
030904,14797
031000,1192
031100,16791
031200,695
031300,13530
031400,2262
031500,35636
031600,544
031700,25794
031701,17905
031702,17307
031703,988269
031704,702148
031800,763
031900,84749
031901,68
031902,156
032000,2101
032100,16498
032300,15376
032400,559
032500,13073
032600,2634
032700,21934
032800,2363
032900,20853
033000,4838
033100,2173390
033201,1770
033202,1242
033300,4513
033400,6890
033401,1011
033402,3563
033500,14954
033600,2240
033700,19167
033800,883
033900,13173
034000,948
034100,7339
034200,1095
034300,5715
034400,374
034500,6803
034700,31240
034800,2403
034900,4361
035000,1632
035100,17218
035200,1776
035300,10167
035400,2716
035500,3387
035600,659
035601,881
035602,2577
035700,62462
035800,2368
035900,3880
036000,689
036001,1456
036002,1445
036100,5224
036200,2060
036300,5388
036400,1743
036500,2324
036501,2308
036502,1297
036600,2334
036700,4498
036800,1017
036900,3277
036901,705
036902,408
037000,2383
037100,5023
037200,483
037300,12359
037400,752
037401,1583
037402,1288
037500,14757
037504,2026
037600,1590
037700,9369
037800,725
037900,8948
038000,881
038100,13278
038200,771
038300,7316
038301,3213
038302,38069
038400,682
038500,7955
038600,2049
038700,12202
038800,1644
038900,36128
039000,1684
039100,15228
039200,1588
039300,26242
039400,2881
039500,15208
039600,2035
039700,17565
039800,1608
039900,11057
039901,1998
039902,1901
040000,1552
040100,14923
040200,1280
040300,11337
040302,1774
040303,1225
040304,1486
040400,1739
040500,6592
040501,1244
040502,1399
040600,1375
040700,3988
040701,1060
040702,2844
040800,1823
040900,10740
041000,750
041100,7384
041200,1206
041300,9239
041400,1614
041401,1054
041402,1582
041500,10766
041600,1345
041700,3661
041800,2277
041900,10434
042000,2704
042100,20231
042200,2659
042300,28139
042400,2599
042500,32661
042600,2438
042700,36679
042800,1628
042900,21022
042901,801
042902,841
043000,1813
043100,20309
043200,2155
043300,6579
043400,2647
043500,14002
043600,1716
043700,10661
043701,5066
043702,4997
043800,1744
043900,12717
044000,3550
044100,9549
044200,1905
044300,13134
044301,2016
044302,4527
044400,4520
044500,14388
044600,796
044601,1457
044602,3631
044700,22089
044800,5535
044900,38315
044901,2125
044902,4125
045000,3088
045101,3875
045102,2204
045200,2978
045300,36693
045400,4182
045500,11882
045600,4210
045700,4331
045800,4408
045900,4043
046000,7604
046100,2664
046200,2509
046201,8318
046202,3460
046300,2592
046400,2645
046500,3348
046600,3156
046700,4642
046800,2224
046900,7678
047000,1606
047100,6153
047200,3842
047300,10021
047400,833
047500,12966
047600,2555
047700,80527
047800,6101
047900,13216
048000,2888
048100,39984
048200,5977
048300,11497
048400,6535
048500,73673
048600,2601
048800,4238
048900,9031
049000,10100
049100,26351
049200,6927
049300,61879
049301,3033
049302,6588
049400,11738
049500,57541
049600,8898
049700,76540
049800,5891
049900,39908
050000,14102
050100,70288
050201,322
050202,7698
050300,50371
050400,17276
050500,48995
050600,8299
050700,18452
050800,334
050801,6539
050803,7070
050804,13523
050900,7328
051000,415
051001,5654
051002,6298
051100,45931
051200,7557
051300,144663
051400,10389
051500,45180
051600,2128
051601,3448
051602,4094
051700,91208
051800,6440
051900,143593
052000,6428
052100,2673
052200,362
052300,108076
052400,361
052500,67750
052600,9029
052700,67487
052800,2596
052900,19447
053000,2889
053100,16625
053200,2166
053300,7716
053400,2318
053401,453
053500,10904
053601,340
053700,9881
053800,2920
053900,12682
054000,864
054200,2948
054300,26643
054400,1569
054500,12384
054600,2583
054700,39342
054800,1800
054900,170033
055000,2325
055100,152490
055200,4254
055300,150080
055400,3394
055500,190953
055600,2297
055700,127889
055800,1360
055900,2042
056000,2026
056100,66666
056200,1225
056300,69641
056400,1419
056500,80172
056600,1394
056700,2698
056800,2466
056900,52374
057000,1106
057100,70081
057200,564
057300,41717
057400,708
057500,86754
057600,960
057700,2368
057800,1437
057900,35701
058000,1976
058100,2547
058200,1857
058300,4709
058400,1348
058500,6217
058600,673
058700,4711
058800,1611
058900,37957
059000,1240
059100,49875
059200,2085
059300,30928
059400,295
