tract,count
000100,87201
000200,639
000201,6803
000202,13109
000300,35
000301,17647
000400,191
000500,182
000501,24280
000502,83261
000600,49749
000700,882602
000800,43537
000900,756110
001000,84
001001,10380
001002,17163
001100,72448
001200,22286
001300,849600
001400,202
001401,24461
001402,161249
001500,127204
001501,327563
001502,507509
001600,311815
001700,3
001800,1202749
001900,114275
002000,27702
002001,64
002002,135
002100,1054985
002200,968
002201,68311
002202,145390
002300,7994
002400,5559
002500,43016
002600,33
002601,96198
002602,160411
002700,41888
002701,185
002702,592
002800,171620
002900,294794
002901,3087
003000,119
003001,902760
003002,477166
003100,458669
003200,951116
003300,1447790
003400,730342
003500,70222
003600,172
003601,309873
003602,553237
003700,1242794
003800,1182492
003900,942159
004000,1135391
004001,235
004002,152
004100,764815
004200,722300
004300,1051687
004400,584790
004401,388
004500,736967
004600,104
004700,805335
004800,806097
004900,1071033
005000,1346928
005001,42
005002,75
005100,31435
005200,1424615
005201,70
005202,73
005300,47586
005400,1155182
005500,8281
005501,391052
005502,1002300
005600,1485248
005601,104
005602,162
005700,714086
005800,1514461
005900,440994
005902,390
006000,221429
006100,1048555
006200,459471
006201,131
006202,415
006300,1028584
006400,916417
006500,1372174
006501,15293
006502,17395
006600,724891
006700,976536
006800,1393980
006900,504689
007000,979931
007100,1007786
007200,1689903
007300,1056337
007400,1551860
007500,618162
007600,1557904
007700,1120647
007800,859344
007900,1643495
008000,1666778
008100,1034338
008200,1467741
008300,1508133
008400,1007758
008500,7081
008600,309
008601,248511
008602,71695
008603,272597
008700,1037797
008800,1096665
008900,498304
009000,1055940
009100,1363538
009200,3103567
009300,765679
009400,1507812
009500,1195481
009600,1116566
009601,31
009602,20
009700,316529
009800,1507830
009900,2026058
010000,1862537
010100,3901559
010200,1699245
010300,689854
010400,1393242
010500,661
010600,213
010601,440261
010602,419637
010701,973
010800,1215608
010900,1172526
011000,1075361
011100,777623
011200,199
011201,983307
011202,1057466
011203,881460
011300,1790711
011400,306
011401,894743
011402,1082467
011500,1350851
011502,290
011600,671886
011700,559225
011800,872845
011900,1782075
012000,1126360
012100,1265762
012101,59
012102,32
012200,832285
012300,303
012301,1693
012400,1011632
012500,2020928
012600,977457
012601,79
012602,54
012700,970937
012701,69
012800,1276003
012801,140
012804,11
012805,7
012806,5
012900,1116691
012901,88004
012902,42005
013000,1012245
013100,1913179
013200,669243
013201,2
013203,7
013204,5
013300,961347
013301,6
013302,31
013400,1060312
013500,792105
013600,888862
013700,2415213
013800,970578
013900,1056700
014000,1100694
014100,18203
014200,980477
014201,89
014202,2903
014300,2245274
014400,534
014401,258057
014402,393723
014500,1601827
014601,464121
014602,525345
014604,9
014605,1
014606,4
014607,6
014608,2
014700,147025
014701,154
014702,69
014800,434
014801,497418
014802,861366
014900,1284860
015000,210
015001,296289
015002,700527
015100,576003
015200,370156
015300,1098119
015400,693044
015500,467421
015600,136
015601,202254
015602,89241
015603,13
015700,859720
015800,18
015801,531342
015802,167873
015900,743585
016000,1042
016001,567277
016002,187861
016100,542219
016200,21707
016300,804909
016400,109550
016500,724297
016600,121142
016700,714665
016800,253767
016900,587754
016901,85
017000,104641
017005,23
017007,29
017008,12
017009,6
017010,197
017011,5
017012,13
017100,700036
017200,81617
017300,491670
017400,350
017401,38815
017402,14464
017500,577211
017600,249
017700,358492
017701,115
017702,113
017800,32024
017900,539970
017901,221
017902,124
018000,93586
018100,390560
018101,45137
018102,40576
018200,67836
018300,609006
018301,468
018302,383
018400,31836
018401,58
018402,27
018500,305007
018501,6514
018502,1658
018600,28609
018700,364537
018701,22
018702,49
018800,84337
018900,232546
018901,44
018902,49
019000,33971
019100,384472
019200,8228
019300,204803
019400,44625
019500,322041
019600,94172
019700,13661
019701,66932
019702,69438
019800,89521
019900,388694
020000,40110
020100,9834
